TF	target	importance
MAFB	CDKN1C	58.78364376507191
FOS	PER1	58.694677101577106
BACH2	IGF1R	58.57887019274843
SPI1	FGL2	58.52004302368741
CREB5	TLR2	58.30321767733747
LEF1	ATM	58.26448229092706
CREB5	CD14	58.18542586750578
TCF4	TLR9	58.13677362713972
STAT1	GBP1	58.11605121157726
EBF1	PAWR	58.080585189406435
KLF4	ZFP36	58.07227918405384
CEBPB	CDKN1C	58.0266410648881
HDAC9	SYK	57.97244679679748
ZEB2	HDAC9	57.864912219220756
CREB5	DISC1	57.76470976825395
MEF2C	POU2F2	57.74382112476493
TCF4	BCL11A	57.58792014888736
TCF4	CD4	57.30605162039591
CIITA	HLA-DRB1	57.300026571291035
BACH2	CD99	57.26705378958677
NEAT1	JARID2	57.22152968881351
TBX21	TGFBR3	57.218414768427294
LEF1	HIVEP2	57.17673456586059
PTMA	ENO1	57.094502265065934
HOPX	MYBL1	57.05242994426842
LEF1	RBL2	57.00490675663093
CREB5	AHR	56.90371173813763
RUNX2	FLT3	56.87237449538704
PAX5	CD19	56.85345635563504
LEF1	BCL2	56.78175813070865
TCF7L2	SAMD4A	56.68718425164418
ZEB2	VCAN	56.63604583041876
EOMES	CCL5	56.57807346771669
ZEB2	PRKCB	56.42857687481925
FOS	KLF4	56.34692310102574
EBF1	CD82	56.325158259713696
CREB5	NAMPT	56.279204239152335
PAX5	WDFY4	56.22300690472464
ZEB2	MAL	56.205350432057045
NEAT1	IRS2	56.13203278106769
BACH2	PAX5	56.120530304497535
TCF7L2	CTSL	56.11811281210747
NEAT1	COX7C	56.07840221737551
PAX5	BACH2	56.07465450035356
LEF1	KLF6	56.008448607390626
CREB5	JARID2	55.941497642009
EBF1	COL4A3	55.92325594043132
NEAT1	UTRN	55.784039150601494
EBF1	BCL11A	55.676966247920994
MEF2C	PRKCB	55.650524159433694
KLF4	SAT1	55.59833083764235
TCF4	IRF8	55.456569192877474
PTMA	NCL	55.41287432913825
NEAT1	HSP90AB1	55.2866591309562
MEF2C	REL	55.18630347809751
FOS	JUNB	54.831505058123334
TCF7L2	TNFRSF1B	54.76468827878985
MAF	ITGB1	54.74461721149965
KLF4	CREB5	54.713232347019456
TCF7L2	GBP1	54.70764401175979
ZEB2	CUX1	54.65638166762804
HDAC9	MEF2C	54.65386783687368
ZEB2	RPL3	54.6216057557127
NEAT1	HK3	54.58063015436443
CIITA	HLA-DRA	54.507240065260206
RORA	ERN1	54.50226018460997
KLF4	RXRA	54.48664223821879
MAFB	HMOX1	54.427309915657155
STAT4	RORA	54.411790331456906
TCF7L2	LILRB2	54.39989524020419
ZEB2	CEBPD	54.346552318495085
EBF1	MGAT5	54.26036769529734
ZBTB16	PRF1	54.205027609300835
NEAT1	HSPA8	54.186229692344035
CREB5	NAIP	54.17312668618984
RORC	ADAM12	54.14491996841218
NEAT1	FOS	54.13322009873865
EBF1	PRDM2	54.12359397830686
LEF1	TGFBR2	54.10276696704728
RORA	TNFAIP3	53.99096032783822
NEAT1	PTAFR	53.978060474414335
NEAT1	ELF2	53.91167737687437
NEAT1	NCF2	53.86403620759858
KLF4	CD83	53.84675636718844
EBF1	SPIB	53.776807779601235
ZEB2	TCF7	53.74496412586205
ETS1	BCL2	53.64516366183192
NEAT1	HNRNPA1	53.52586018148371
SETBP1	HLA-DPA1	53.51621528445591
TCF4	SLC7A5	53.51619580548408
NEAT1	HLA-B	53.4921861840817
NEAT1	ADAM17	53.42144082056005
NEAT1	HLA-C	53.398863579048495
NEAT1	MAP3K5	53.35305019983239
TCF7L2	KCNMA1	53.32635199774466
NEAT1	HDAC4	53.243367349219454
LEF1	CD6	53.138787425924846
HOPX	XBP1	53.09308138143967
LEF1	IKZF1	53.07734559725307
MLLT3	LEF1	53.045886599342836
NEAT1	BCL6	52.80842101854147
CIITA	HLA-DPB1	52.789355794104516
KLF4	JUN	52.603093115641556
ZEB2	RPS3A	52.54514457439891
LEF1	CD3G	52.5257800316149
TBX21	KLRK1	52.49770972600296
NEAT1	ASAH1	52.49169783552087
DRAP1	CDKN1C	52.47793561941105
MYBL1	HOPX	52.43761838785886
RORA	KAT2B	52.43512817412864
CREB5	JAK2	52.40041241924611
HDAC9	PRKCB	52.19305336160194
NEAT1	NCOA2	52.139445408739604
MEF2C	MIS18BP1	52.10454841215276
PTMA	HMGB1	52.044529598252204
NEAT1	FOSB	51.99650020325205
NEAT1	ZFP36	51.94223867296116
NEAT1	CCND3	51.93094308236602
FOXP1	S100A6	51.86682328646875
LEF1	SUPT3H	51.83226642324191
TCF7	BACH2	51.826416816541816
MYBL1	KAT2B	51.78894314995492
TCF7L2	SPI1	51.709996163112486
CIITA	HLA-DRB5	51.47556355553715
CREB5	ATG7	51.42676922917393
FOS	KLF6	51.41732716526642
BACH2	MBP	51.39416008509674
MEF2C	CD2	51.39119885914348
PTMA	HLA-C	51.366657030236865
KLF6	ITGB1	51.34727823073539
BCL11A	HLA-DRB5	51.21449564967914
BACH2	TCF7	51.07986952968803
PLEK	ZEB2	51.01752931694226
HOPX	A2M	50.983532125920306
BACH2	S100A6	50.95540382050457
CEBPD	S100A9	50.89635875030811
GATA2	PBX1	50.79077774174232
RORA	STAT4	50.781497246095874
HDAC9	HLA-DQB1	50.77528212546693
BACH2	SATB1	50.77217234223076
EBF1	SSPN	50.65429170030793
ZEB2	RPLP0	50.63599551920283
ZEB2	REL	50.62407791172274
TCF4	TLR7	50.61024435922095
NEAT1	PTPRC	50.608749571749705
NEAT1	RTN3	50.60312324414052
ZEB2	NCOA2	50.57317154376827
NEAT1	PECAM1	50.51897414605476
BCL11A	HLA-DPA1	50.513301360982126
NEAT1	BCL2	50.49546768822415
EBF1	BACE2	50.47794604412345
NEAT1	CEBPD	50.474760815901895
BCL11A	HLA-DRB1	50.46067847007857
FOS	ZFP36	50.42035098429609
ZEB2	ITGAL	50.415859578280774
TCF7L2	CEBPB	50.392648086780696
NEAT1	LILRB2	50.31666054441251
NEAT1	TPT1	50.294478800962175
JUN	BTG2	50.05143997422233
LEF1	LTB	50.037376173828086
TCF7L2	BID	49.981518451424904
CREB5	RPL3	49.963878734518126
TCF4	PMEPA1	49.91957157801799
BACH2	RPL3	49.89085523319596
TBX21	MYBL1	49.83193502686915
PTMA	SET	49.81439685035804
NEAT1	PTMA	49.78984852916386
KLF4	FTH1	49.77388373185233
NEAT1	PSEN1	49.74834852323706
TCF7	NELL2	49.722829553575544
MYBL1	RUNX3	49.675149677477314
TCF4	ENPP2	49.58915425363335
CREB5	NCF1	49.588180779999156
NEAT1	GBP1	49.55541680488568
KLF6	VIM	49.51220064287259
ETS1	RORA	49.479317597307556
LEF1	S100A4	49.476122319395934
TBX21	PPP2R2B	49.45503221407002
KLF4	RASGEF1B	49.42390058783635
CREB5	B2M	49.42212326299236
NEAT1	PIAS1	49.405314385618084
ZEB2	TRPS1	49.37170167721885
BCL11A	PAX5	49.356086382524374
EBF1	TLR10	49.35039815904426
ZEB2	NAMPT	49.341206548944406
RORA	CCND2	49.33737434103334
CREB5	MAPK14	49.26532534032201
ARID5B	CD8B	49.20139751636328
BACH1	NEAT1	49.16251638784531
ZEB2	ETS1	49.126699254777435
TCF7L2	DUSP6	49.0777029176517
TBX21	LITAF	49.072645307362315
KLF4	ATF3	49.00940656280564
SPI1	IFITM3	48.95290970350825
NEAT1	GK	48.94265532532845
MEF2C	PRKCQ	48.921040792478315
ZEB2	CD28	48.81595419818734
ZEB2	SYK	48.79501739446929
NEAT1	CD83	48.79295333023077
PAX5	PAWR	48.76164560430629
MAFB	OAS1	48.707927504040434
TRIM22	MX1	48.68334324778159
KLF4	TCF7L2	48.669071797153734
TCF7L2	NFKBIZ	48.667111710591826
FOSB	JUNB	48.65379689807258
CREB5	HIF1A	48.62399164605865
FOSB	PER1	48.59984960803947
ZBTB16	IL2RB	48.584587512803765
EBF1	RASGRP3	48.39483804494322
MEF2C	ETV6	48.36146754775901
TCF7	PRKCA	48.29493541797521
CREB5	IRS2	48.27046375856182
BACH2	ACTN4	48.26630026945329
CREB5	VMP1	48.219951892822856
TCF7L2	SAT1	48.21990084868867
PTMA	BTF3	48.201946950163226
CTBP2	UTRN	48.1928894242821
NEAT1	LTB	48.17574114247077
RORA	OPTN	48.13460466134511
LEF1	RPS3A	47.99556224168983
NEAT1	TLR4	47.99284994257166
HDAC9	FLT3	47.89507277406906
ZEB2	ITGAM	47.892078184350716
CEBPD	LYZ	47.86469200808075
TBX21	A2M	47.81789335396582
RUNX3	CCL5	47.76627727103212
